dia;mes;año ;hora costo marginal;
24;1;2015;16;154
24;1;2015;17;80.51
24;1;2015;18;89.22
24;1;2015;19;89.22
24;1;2015;20;89.22
24;1;2015;21;89.22
24;1;2015;22;89.22
24;1;2015;23;70.87
24;1;2015;24;57.68
25;1;2015;1;89.22
25;1;2015;2;89.22
25;1;2015;3;89.22
25;1;2015;4;88.98
25;1;2015;5;89.22
25;1;2015;6;89.22
25;1;2015;7;89.22
25;1;2015;8;89.22
25;1;2015;9;89.22
25;1;2015;10;89.22
25;1;2015;11;89.22
25;1;2015;12;89.22
25;1;2015;13;89.22
25;1;2015;14;89.22
25;1;2015;15;89.22
25;1;2015;16;88.98
25;1;2015;17;70.27
25;1;2015;18;73.6
25;1;2015;19;88.98
25;1;2015;20;89.22
25;1;2015;21;89.22
25;1;2015;22;89.22
25;1;2015;23;88.98
25;1;2015;24;71.44
26;1;2015;1;70.83
26;1;2015;2;69.72
26;1;2015;3;72.46
26;1;2015;4;70.75
26;1;2015;5;70.7
26;1;2015;6;78.18
26;1;2015;7;88.25
26;1;2015;8;89.22
26;1;2015;9;153.95
26;1;2015;10;89.22
26;1;2015;11;153.99
26;1;2015;12;154.01
26;1;2015;13;153.95
26;1;2015;14;153.99
26;1;2015;15;153.95
26;1;2015;16;154.01
26;1;2015;17;153.97
26;1;2015;18;89.22
26;1;2015;19;89.22
26;1;2015;20;89.22
26;1;2015;21;89.22
26;1;2015;22;89.22
26;1;2015;23;89.22
26;1;2015;24;89.22
27;1;2015;1;89.22
27;1;2015;2;89.22
27;1;2015;3;88.98
27;1;2015;4;89.22
27;1;2015;5;88.98
27;1;2015;6;88.98
27;1;2015;7;89.22
27;1;2015;8;89.22
27;1;2015;9;147.73
27;1;2015;10;147.73
27;1;2015;11;147.73
27;1;2015;12;147.73
27;1;2015;13;147.73
27;1;2015;14;147.73
27;1;2015;15;147.73
27;1;2015;16;147.73
27;1;2015;17;89.22
27;1;2015;18;89.22
27;1;2015;19;89.22
27;1;2015;20;89.22
27;1;2015;21;147.73
27;1;2015;22;153.97
27;1;2015;23;153.98
27;1;2015;24;153.96
28;1;2015;1;154.02
28;1;2015;2;89.22
28;1;2015;3;89.22
28;1;2015;4;89.22
28;1;2015;5;89.22
28;1;2015;6;89.22
28;1;2015;7;89.22
28;1;2015;8;89.22
28;1;2015;9;147.73
28;1;2015;10;147.73
28;1;2015;11;147.73
28;1;2015;12;147.73
28;1;2015;13;147.73
28;1;2015;14;147.73
28;1;2015;15;147.73
28;1;2015;16;147.73
28;1;2015;17;147.73
28;1;2015;18;89.22
28;1;2015;19;154.01
28;1;2015;20;154.01
28;1;2015;21;89.22
28;1;2015;22;89.22
28;1;2015;23;89.22
28;1;2015;24;88.98
29;1;2015;1;72.38
29;1;2015;2;38.11
29;1;2015;3;89.22
29;1;2015;4;88.98
29;1;2015;5;71.09
29;1;2015;6;72.23
29;1;2015;7;72.17
29;1;2015;8;89.22
29;1;2015;9;153.94
29;1;2015;10;147.73
29;1;2015;11;147.73
29;1;2015;12;147.73
29;1;2015;13;89.22
29;1;2015;14;147.73
29;1;2015;15;147.73
29;1;2015;16;147.73
29;1;2015;17;89.22
29;1;2015;18;89.22
29;1;2015;19;89.22
29;1;2015;20;89.22
